Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Spain,ESP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.8317073170732,83.3292682926829,83.2829268292683,83.4317073170732,83.8317073170732,82.2317073170732,83.1780487804878,83.1341463414634,83.8829268292683,83.8829268292683
Spain,ESP,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,49.2573660793898,48.3422707782042,50.8046092446811,51.5013937272925,50.3576643446257,49.1949877035219,54.7251866532511,62.891266153065,55.1547503309299,55.1547503309299
Spain,ESP,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.2702320395662,1.13713590926222,1.23002910987775,1.25433377164601,1.23270491757212,1.36664551701951,1.35211774619771,1.4339965700543,1.50901228462186,1.50901228462186
Spain,ESP,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,109.9855567,110.8625606,112.7141001,115.7483421,117.4481914,117.4899328,119.623109,124.0994495,124.0994495,124.0994495
Spain,ESP,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,3.3,3.3,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1
Spain,ESP,Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,100.0,101.14694815,99.6416894803,97.6646819888,98.187052848,101.5483330135,98.3911159654,98.3911159654,98.3911159654,98.3911159654
Spain,ESP,Net migration,SM.POP.NETM,-1979.0,106474.0,201135.0,337467.0,464783.0,236854.0,144385.0,299779.0,119099.0,111674.0
Spain,ESP,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,2673407398.90467,2632183874.91622,3004745214.02338,3331709084.39561,3206846641.96425,3063400972.64945,3949650833.18905,4285808733.96917,5328217984.97871,5328217984.97871
Spain,ESP,Population density (people per sq. km of land area),EN.POP.DNST,92.9526859210545,93.0492629572988,93.2709101549633,93.6697920792501,94.3508089023978,94.815383748924,94.8822087969797,95.5729827216798,95.5729827216798,95.5729827216798
Spain,ESP,Population growth (annual %),SP.POP.GROW,-0.077588861590047,0.0844301500680736,0.234587922968563,0.437982993728698,0.717715637103499,0.488502131838585,0.105799194264084,0.72148100717686,1.22528044685694,1.22528044685694
Spain,ESP,"Population, total",SP.POP.TOTL,46444832.0,46484062.0,46593236.0,46797754.0,47134837.0,47365655.0,47415794.0,47759127.0,48347910.0,48347910.0
Spain,ESP,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,1.1,1.3,0.8,1.0,0.9,1.1,0.7,0.8,0.8,0.8
Spain,ESP,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,22.3,21.6,21.5,20.7,21.0,21.7,20.4,20.2,20.2,20.2
Spain,ESP,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2
Spain,ESP,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,96.1013488769531,94.7013168334961,96.6760177612305,95.6724014282227,96.6371078491211,96.0053405761719,99.1650314331055,98.4915237426758,98.4915237426758,98.4915237426758
Spain,ESP,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,27.5393887658309,27.1288470631817,27.0360266114199,27.752508504664,27.8396917947532,29.2233358778761,30.1223659907048,29.7913046390255,29.6351122988085,29.6351122988085
Spain,ESP,"School enrollment, primary (% gross)",SE.PRM.ENRR,102.144233703613,102.130096435547,102.50511932373,102.638717651367,103.185317993164,103.410423278809,102.899139404297,102.445991516113,102.445991516113,102.445991516113
Spain,ESP,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.00452995300293,1.0102299451828,1.01564002037048,1.01686000823975,1.02180004119873,1.02069997787476,1.02069997787476,1.02069997787476,1.02069997787476,1.02069997787476
Spain,ESP,"School enrollment, secondary (% gross)",SE.SEC.ENRR,124.85466003418,123.269889831543,120.555923461914,119.430198669434,118.524719238281,117.367767333984,119.114921569824,119.015510559082,119.015510559082,119.015510559082
Spain,ESP,Surface area (sq. km),AG.SRF.TOTL.K2,505924.0,505935.0,505935.23,505957.289,505952.796,505969.891,505964.594,505978.281,505978.281,505978.281
Spain,ESP,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,14.0820816990338,13.6838393292056,13.6257034043746,14.1254961741386,13.6580229877723,13.4462555370373,14.8775287865224,15.496178371307,14.9927519014579,14.9927519014579
Spain,ESP,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,14.1,15.1956326397025,14.9,14.9740098076054,17.9,17.9,17.9,17.9,17.9,17.9
Spain,ESP,Urban population growth (annual %),SP.URB.GROW,0.219325482669056,0.382971718642725,0.534737452920241,0.738481167271324,1.0210350775988,0.792144591816453,0.409754083471361,1.02697615754963,1.52984434218381,1.52984434218381
